Block,Trial,PatternType,LeftCoh,RightCoh,Response,RT,Acc
1,1,linear,0.1,0,L,3.086,TRUE
1,2,linear,0.2,0,L,1.5683,TRUE
1,3,radial,0.2,0,L,0.93657,TRUE
1,4,linear,0.05,0,L,2.4023,TRUE
1,5,linear,0,0.2,R,2.1018,TRUE
1,6,radial,0,0.05,L,3.7916,FALSE
1,7,radial,0,0.2,R,0.78565,TRUE
1,8,linear,0,0.15,R,1.001,TRUE
1,9,radial,0,0.15,R,0.93431,TRUE
1,10,linear,0,0.1,R,2.3356,TRUE
1,11,radial,0.05,0,L,2.9709,TRUE
1,12,linear,0,0.05,L,1.5347,FALSE
1,13,radial,0.15,0,L,0.95107,TRUE
1,14,linear,0.15,0,L,2.1016,TRUE
1,15,radial,0,0.1,L,2.4521,FALSE
1,16,radial,0.1,0,L,3.5198,TRUE
2,1,radial,0.2,0,L,0.90087,TRUE
2,2,linear,0.1,0,L,2.586,TRUE
2,3,linear,0.2,0,L,2.5856,TRUE
2,4,linear,0.05,0,R,2.1865,FALSE
2,5,linear,0,0.2,R,1.2717,TRUE
2,6,radial,0,0.05,L,3.2698,FALSE
2,7,radial,0,0.2,R,2.5023,TRUE
2,8,linear,0,0.15,R,2.0351,TRUE
2,9,linear,0,0.1,R,1.9013,TRUE
2,10,radial,0,0.15,R,3.1695,TRUE
2,11,radial,0.05,0,L,4.4206,TRUE
2,12,radial,0.15,0,L,0.90079,TRUE
2,13,linear,0,0.05,R,3.0418,TRUE
2,14,radial,0,0.1,R,3.2362,TRUE
2,15,radial,0.1,0,R,2.786,FALSE
2,16,linear,0.15,0,L,1.8206,TRUE
3,1,radial,0.2,0,L,0.85102,TRUE
3,2,radial,0,0.05,R,3.7049,TRUE
3,3,radial,0,0.2,L,2.6695,FALSE
3,4,radial,0,0.15,R,1.3631,TRUE
3,5,linear,0.1,0,L,2.7691,TRUE
3,6,linear,0.2,0,R,2.2956,FALSE
3,7,linear,0.05,0,L,2.8193,TRUE
3,8,linear,0,0.2,R,2.7525,TRUE
3,9,linear,0,0.15,R,2.5523,TRUE
3,10,radial,0.05,0,L,2.6399,TRUE
3,11,radial,0.15,0,L,1.3017,TRUE
3,12,radial,0,0.1,R,1.0182,TRUE
3,13,radial,0.1,0,L,2.419,TRUE
3,14,linear,0,0.1,R,2.5357,TRUE
3,15,linear,0,0.05,L,3.6198,FALSE
3,16,linear,0.15,0,L,2.4355,TRUE
4,1,linear,0.1,0,L,1.1031,TRUE
4,2,radial,0.2,0,L,0.68477,TRUE
4,3,radial,0,0.05,L,2.502,FALSE
4,4,linear,0.2,0,L,1.001,TRUE
4,5,linear,0.05,0,R,2.9358,FALSE
4,6,radial,0,0.2,R,1.0875,TRUE
4,7,radial,0,0.15,R,1.0373,TRUE
4,8,linear,0,0.2,R,0.94037,TRUE
4,9,linear,0,0.15,R,2.2521,TRUE
4,10,linear,0,0.1,L,1.0888,FALSE
4,11,radial,0.05,0,L,2.7215,TRUE
4,12,linear,0,0.05,R,4.0535,TRUE
4,13,radial,0.15,0,L,2.6023,TRUE
4,14,linear,0.15,0,L,1.5704,TRUE
4,15,radial,0,0.1,R,2.3354,TRUE
4,16,radial,0.1,0,L,2.7024,TRUE
5,1,radial,0.2,0,L,1.1675,TRUE
5,2,linear,0.1,0,L,5.121,TRUE
5,3,linear,0.2,0,L,1.5015,TRUE
5,4,radial,0,0.05,L,3.4051,FALSE
5,5,radial,0,0.2,R,1.5233,TRUE
5,6,linear,0.05,0,L,1.5683,TRUE
5,7,linear,0,0.2,R,1.0341,TRUE
5,8,radial,0,0.15,R,1.4181,TRUE
5,9,radial,0.05,0,L,2.3187,TRUE
5,10,radial,0.15,0,L,1.3679,TRUE
5,11,radial,0,0.1,R,1.4681,TRUE
5,12,radial,0.1,0,R,3.2698,FALSE
5,13,linear,0,0.15,R,2.3522,TRUE
5,14,linear,0,0.1,R,1.0693,TRUE
5,15,linear,0,0.05,R,3.4028,TRUE
5,16,linear,0.15,0,L,1.3846,TRUE
